Texto, Usuario, Fecha_creacion
RT @CNN: US intelligence has gathered information showing that officials in Wuhan<coma> China<coma> kept senior officials in Beijing in the dark for…,@kosmokittie,Fri Aug 21 21:28:36 +0000 2020
RT @reportersalles: Será que agora que a China recomendou o tratamento da COVID-19 com hidroxicloroquina ouviremos Mandetta pedindo desculp…,@Sheila55368560,Fri Aug 21 21:28:36 +0000 2020
RT @PodemosAhora: Y así nos pasamos todo el puto día .....  ¿Y si la segunda oleada de coronavirus se junta con la llegada de la gripe?;via…,@angelmoran1957,Fri Aug 21 21:28:36 +0000 2020
RT @AvonandsomerRob: Forget everything you’ve ever read about Covid<coma> and watch this video.   From an NHS Doc<coma> not a journalist.,@cheekyblinder11,Fri Aug 21 21:28:36 +0000 2020
@shin_meiwa_gs @RGenrator @BurgerKingFR he ben écoute j'ai vu le certificat de décé justement de ce cas ... donc ..… https://t.co/M2vA1qgLRi,@MarcStrumberg,Fri Aug 21 21:28:36 +0000 2020
RT @ASlavitt: BREAKING: White House takes away FDA authority to regulate COVID tests. It’s August<coma> de-regulating &amp; politically meddling are…,@AnneAstrobri,Fri Aug 21 21:28:36 +0000 2020
RT @Kinsellas: Shilton has noticed that Botham got a peerage.,@happyspinster,Fri Aug 21 21:28:36 +0000 2020
RT @syedfahar_: If a student gets infected with Covid-19<coma> will BJP Government bear all the expenses of the student ?  If a Student gets inf…,@SAYMAKH45830464,Fri Aug 21 21:28:36 +0000 2020
RT @winniebueno: A Covid-19 afetou minha família tambem. Meu padrinho<coma> um homem que viveu sua vida inteira rodeado de pessoas<coma> faleceu essa…,@eujupiter1,Fri Aug 21 21:28:37 +0000 2020
RT @MAecocardio: Os aconsejo seguir a @mianrey el mejor analisis y presentacion de datos de la pandemia!!!,@davidgmartin,Fri Aug 21 21:28:36 +0000 2020
RT @lamarchena7: VP.Delcy Rodríguez: "Estamos con el Consejo Científico<coma> con propuestas de tratamientos alternativos y nuevas líneas de inv…,@Julieta77955042,Fri Aug 21 21:28:37 +0000 2020
